mm2,AWG
0.05,30
0.08,28
0.14,26
0.25,24
0.34,22
0.50 UL,21 UL
0.5,20
0.75 UL,19 UL
0.75,18
1.0 UL,18 UL
1,17
1.5,16
2.5,14
4,12
6,10
10,8
16,6
25,4
35,2
50,0 (1/0)
70,00 (2/0)
95,000 (3/0)
120,0000 (4/0)
150,300 MCM
185,350 MCM
240,500 MCM
300,600 MCM
400,750 MCM
500,1000 MCM
630,1250 MCM
800,1575 MCM
1000,2000 MCM
,
,
,
ScottonTechnology.com,
CC BY 3.0,
https://scottontechnology.com/wire/mm2-to-awg/,
